1.50            1.0000000000		0.9805825243		0.9711538462		1.0000000000		0.9901960784		0.9439252336		1.0000000000		0.9711538462		0.9017857143
1.75            1.0000000000		0.8782608696		0.7829457364		0.9805825243		0.8859649123		0.7537313433		0.9528301887		0.7952755906		0.6824324324
2.00            0.9099099099		0.5976331361		0.5260416667		0.8859649123		0.5315789474		0.3782771536		0.9439252336		0.4855769231		0.3237179487
2.25            0.7214285714		0.3237179487		0.2205240175		0.7481481481		0.2219780220		0.1257783313		0.7214285714		0.1775043937		0.0770992366
2.50            0.4429824561		0.0931734317		0.0719885959		0.5233160622		0.0562987737		0.0215765862		0.4261603376		0.0348395999		0.0092000000
2.75            0.2108559499		0.0306009870		0.0199082025		0.2518703242		0.0084000000		0.0025000000		0.2172043011		0.0053000000		0.0017000000
3.00            0.0718861210		0.0064000000		0.0046000000		0.0980582524		0.0012000000		0.0004320000		0.0830592105		0.0010300000		0.0002580000
3.25            0.0271943996		0.0013000000		0.0009000000		0.0233904585		0.0000960000		0.0000450000		0.0237396320		0.0000700000		0.0000220000
