1.50            0.9805825243		0.9351851852		0.9901960784
1.75            0.7829457364		0.7372262774		0.8487394958
2.00            0.5260416667		0.3884615385		0.4855769231
2.25            0.2205240175		0.1170336037		0.1790780142
2.50            0.0719885959		0.0187488398		0.0329097426
2.75            0.0299082025		0.0022000000		0.0036000000
3.00            0.0046000000		0.0002500000		0.0003000000
3.25            0.0017000000		0.0000500000		0.0000100000
