1.75            1.0000000000            1.0000000000            0.9711538462            0.9619047619		0.9099099099            0.9017857143
2.00            0.9805825243            0.9439252336            0.9017857143            0.7481481481		0.7318840580            0.6601307190
2.25            0.8859649123            0.7952755906            0.6433121019            0.5549450549		0.5050000000            0.3976377953
2.50            0.7709923664            0.5206185567            0.3633093525            0.2475490196		0.1826401447            0.1457431457
2.75            0.5642458101            0.3186119874            0.1697478992            0.1059811123		0.0776923077            0.0676490288
3.00            0.3686131387            0.1412587413            0.0746489283            0.0524130773		0.0382575758            0.0363963964
3.25            0.2148936170            0.0644132653            0.0264467138            0.0188890967		0.0181752744            0.0175774452
3.50            0.1177156177            0.0230488361            0.0086000000            0.0063000000		0.0074000000            0.0074000000
